labels;parents;vab
Sierra;;138109
Selva;;24805
Costa;;323488
Amazonas;Selva;3118
Ancash;Sierra;20716
Apurimac;Sierra;7128
Arequipa;Sierra;31493
Ayacucho;Sierra;5759
Cajamarca;Sierra;11203
Cusco;Sierra;21708
Huancavelica;Sierra;3553
Huanuco;Sierra;6009
Ica;Costa;16979
Junin;Sierra;15454
La Libertad;Costa;21901
Lambayeque;Costa;11836
Lima;Costa;234337
Loreto;Selva;8935
Madre de Dios;Selva;2249
Moquegua;Costa;8779
Pasco;Sierra;5332
Piura;Costa;19778
Puno;Sierra;9754
San Martin;Selva;6063
Tacna;Costa;7113
Tumbes;Costa;2765
Ucayali;Selva;4441
Agricultura, Ganad., Caza y Silv.;Amazonas;1021446
Pesca y Acuicultura;Amazonas;1125
Extrac. de Minerales, Gas y Petrol.;Amazonas;76316
Manufactura;Amazonas;137980
Electricidad, Gas y Agua;Amazonas;36550
Construccion;Amazonas;379964
Comercio;Amazonas;332751
Transporte, Almacen., Correo y Mensaj.;Amazonas;126596
Alojamiento y Restaurantes;Amazonas;43963
Telecom. y Otros Serv. de Info,;Amazonas;63809
Admin. Public. y Defensa;Amazonas;302870
Otros Servicios;Amazonas;594811
Agricultura, Ganad., Caza y Silv.;Ancash;707244
Pesca y Acuicultura;Ancash;469462
Extrac. de Minerales, Gas y Petrol.;Ancash;9730847
Manufactura;Ancash;1933394
Electricidad, Gas y Agua;Ancash;427853
Construccion;Ancash;1065521
Comercio;Ancash;1151703
Transporte, Almacen., Correo y Mensaj.;Ancash;678277
Alojamiento y Restaurantes;Ancash;500667
Telecom. y Otros Serv. de Info,;Ancash;583363
Admin. Public. y Defensa;Ancash;942826
Otros Servicios;Ancash;2524767
Agricultura, Ganad., Caza y Silv.;Apurimac;452383
Pesca y Acuicultura;Apurimac;562
Extrac. de Minerales, Gas y Petrol.;Apurimac;4472926
Manufactura;Apurimac;96611
Electricidad, Gas y Agua;Apurimac;46425
Construccion;Apurimac;568977
Comercio;Apurimac;240465
